source_file,source_column,sync_alias,destination_table,destination_column,notes
QUERY CADASTRO PESSOAS.sql,comcli001.cli001_codigo,erp_code,company,erp_code,ERP company identifier
QUERY CADASTRO PESSOAS.sql,UPPER(comcli001.razaosocial),name,company,name,
QUERY CADASTRO PESSOAS.sql,comcli001.nomefantasia,trading_name,company,trading_name,
QUERY CADASTRO PESSOAS.sql,comcli001.cnpjcpf,cnpj,company,cnpj,
QUERY CADASTRO PESSOAS.sql,UPPER(cli.xlgr || ', ' || cli.nro || ' - ' || cli.xbairro),address,company,address,
QUERY CADASTRO PESSOAS.sql,cli.fone,phone,company,phone,
QUERY CADASTRO PESSOAS.sql,cli.email,email,company,email,
QUERY CADASTRO PESSOAS.sql,CADTAB005.latitude,latitude,company,latitude,from CADTAB005 JOIN
QUERY CADASTRO PESSOAS.sql,CADTAB005.longitude,longitude,company,longitude,from CADTAB005 JOIN

QUERY UNIDADES.sql,ADMEMP001.sigla (erp id not explicit),erp_code,unit,erp_code,erp unit code may differ per ERP
QUERY UNIDADES.sql,UPPER(ADMEMP001.nome),name,unit,name,
QUERY UNIDADES.sql,UPPER(ADMEMP001.endereco || ', ' || A.numero || ' - ' || A.bairro),address,unit,address,
QUERY UNIDADES.sql,ADMEMP001.numero,number,unit, ,stored in address components
QUERY UNIDADES.sql,ADMEMP001.fone,phone,unit,phone,
QUERY UNIDADES.sql,CADTAB005.latitude,latitude,unit,latitude,
QUERY UNIDADES.sql,CADTAB005.longitude,longitude,unit,longitude,
QUERY UNIDADES.sql,ADMEMP001.sigla (tipo) (see sync_query),unit_type,unit,unit_type,1=matriz,2=filial

QUERY MOTORISTAS - CONTATO WHATSAPP.sql,cadfun001.fun001_codigo,erp_code,employee,erp_code,ERP employee id
QUERY MOTORISTAS - CONTATO WHATSAPP.sql,UPPER(cadfun001.nome),name,employee,name,
QUERY MOTORISTAS - CONTATO WHATSAPP.sql,cadfun001.cpf,cpf,employee,cpf,
QUERY MOTORISTAS - CONTATO WHATSAPP.sql,cadfun001.cargo,role,employee,role,1=Motorista,2=Auxiliar
QUERY MOTORISTAS - CONTATO WHATSAPP.sql,cadfun001.ativo,active,employee,active,0/1 -> boolean
QUERY MOTORISTAS - CONTATO WHATSAPP.sql,cadfun001.fone1,phone1,employee,phone1,
QUERY MOTORISTAS - CONTATO WHATSAPP.sql,cadfun001.fone2,phone2,employee,phone2,

QUERY CADASTRO VEICULOS.sql,cadvei001.placa,placa,vehicle,plate,
QUERY CADASTRO VEICULOS.sql,cadvei001.descricao,description,vehicle,model_or_description,
QUERY CADASTRO VEICULOS.sql,cadvei018.descricao,vehicle_type,vehicle,vehicle_type,needs mapping to smallint
QUERY CADASTRO VEICULOS.sql,cadvei022.descricao,wheel_type,vehicle,wheel_type,needs mapping to smallint
QUERY CADASTRO VEICULOS.sql,cadvei001.tipopropriedade,ownership_type,vehicle,ownership_type,'P'/'T' -> char
QUERY CADASTRO VEICULOS.sql,cadvei001.cli001_codigo,owner_id,vehicle,owner_id,lookup company by erp id
QUERY CADASTRO VEICULOS.sql,UPPER(D.razaosocial),owner_name,vehicle, ,owner name available (not kept separately)
QUERY CADASTRO VEICULOS.sql,cadvei001.marca,brand,vehicle,brand,
QUERY CADASTRO VEICULOS.sql,cadvei001.modelo,model,vehicle,model,
QUERY CADASTRO VEICULOS.sql,cadvei001.capacidade,capacity,vehicle,capacity,
QUERY CADASTRO VEICULOS.sql,cadvei001.ativo,active,vehicle,active,0/1 or 'TRUE'

QUERY CADASTRO MANIFESTO.sql,MANOPE001.ope001_codigo,erp_code,manifest,erp_code,
QUERY CADASTRO MANIFESTO.sql,MANOPE001.cte001_codigo,cte_code,manifest,cte_code,
QUERY CADASTRO MANIFESTO.sql,CTECTE001.serie,cte_series,manifest,cte_series,
QUERY CADASTRO MANIFESTO.sql,MANOPE001.datamanifesto,manifest_date,manifest,manifest_date,
QUERY CADASTRO MANIFESTO.sql,MANOPE001.dataprevista,scheduled_date,manifest,scheduled_date,
QUERY CADASTRO MANIFESTO.sql,MANOPE001.status,status,manifest,status,see legend in queries
QUERY CADASTRO MANIFESTO.sql,MANOPE001.prioridade,priority,manifest,priority,
QUERY CADASTRO MANIFESTO.sql,MANOPE001.observacao,observation,manifest,observation,
QUERY CADASTRO MANIFESTO.sql,MANOPE001.vei001_codigo,vehicle_id,manifest,vehicle_id,lookup vehicle by ERP id
QUERY CADASTRO MANIFESTO.sql,MANOPE001.fun001_codigo,employee_id,manifest,employee_id,lookup employee by ERP id
QUERY CADASTRO MANIFESTO.sql,CTECTE001.remcnpjcpf,sender_id,manifest,sender_id,lookup company by CNPJ
QUERY CADASTRO MANIFESTO.sql,CTECTE001.descnpjcpf,receiver_id,manifest,receiver_id,lookup company by CNPJ
QUERY CADASTRO MANIFESTO.sql,MANOPE001.data_inicio,start_time,manifest,start_time,
QUERY CADASTRO MANIFESTO.sql,MANOPE001.data_fim,end_time,manifest,end_time,
QUERY CADASTRO MANIFESTO.sql,MANOPE001.data_conclusao,completion_date,manifest,completion_date,

QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.task001_codigo,erp_code,task,erp_code,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.ope001_codigo,manifest_id,task,manifest_id,lookup manifest by ERP id
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.nfe,nfe_number,task,nfe,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.tipo,task_type,task,task_type,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.status,task_status,task,task_status,
QUERY CADASTRO MANIFESTO - TAREFA.sql,CTECTE010 (DEST) address fields,address,task,address,composed xlgr+nro+xbairro
QUERY CADASTRO MANIFESTO - TAREFA.sql,CLI.latitude,latitude,task,latitude,
QUERY CADASTRO MANIFESTO - TAREFA.sql,CLI.longitude,longitude,task,longitude,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.janela_inicio,window_start,task,window_start,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.janela_fim,window_end,task,window_end,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABOCR002.ocr001_codigo,occurrence_code,task,occurrence_code,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABOCR002.tipo,occurrence_type,task,occurrence_type,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABOCR002.descricao,occurrence_description,task,occurrence_description,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABOCR002.dataocr,occurrence_date,task,occurrence_date,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABOCR002.recebedor,receiver_name,task,recebedor,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABOCR002.doc_recebedor,receiver_document,task,receiver_document,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABOCR002.assinatura,receiver_signature,task,receiver_signature,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.valor,invoice_value,task,invoice_value,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.peso,weight,task,weight,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.volumes,volume_count,task,volume_count,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.tentativas,attempt_count,task,attempt_count,
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.prioridade,priority,task,priority,
QUERY CADASTRO MANIFESTO - TAREFA.sql,comcli001.razaosocial (remetente),sender_name,task,remetente,upper()
QUERY CADASTRO MANIFESTO - TAREFA.sql,CTECTE010.razaosocial (dest),receiver_name,task,destinatario,upper()
QUERY CADASTRO MANIFESTO - TAREFA.sql,TABTSK001.data,date,task,date,

QUERY CADASTRO OCORRENCIAS.sql,TABOCR001.ocr001_codigo,occurrence_code,occurrence,occurrence_code,
QUERY CADASTRO OCORRENCIAS.sql,TABOCR001.descricao,description,occurrence,description,
QUERY CADASTRO OCORRENCIAS.sql,TABOCR001.tipo,occurrence_type,occurrence,occurrence_type,
QUERY CADASTRO OCORRENCIAS.sql,TABOCR001.gerapendencia,creates_issue,occurrence,creates_issue,0/1 -> boolean
QUERY CADASTRO OCORRENCIAS.sql,TABOCR001.manual,is_automatic,occurrence,is_automatic,0/1 (semantic: manual?)
QUERY CADASTRO OCORRENCIAS.sql,TABOCR001.mobile,mobile_available,occurrence,mobile_available,0/1 -> boolean

QUERY CADASTRO NOTA FISCAL.sql,CTEINF020.serie,series,invoice,series,
QUERY CADASTRO NOTA FISCAL.sql,CTEINF020.numero,number,invoice,number,
QUERY CADASTRO NOTA FISCAL.sql,CTEINF020.vprod,value,invoice,value,
QUERY CADASTRO NOTA FISCAL.sql,CTEINF020.qvol,volume_count,invoice,volume_count,
QUERY CADASTRO NOTA FISCAL.sql,CTEINF020.pesob,weight,invoice,weight,
QUERY CADASTRO NOTA FISCAL.sql,CTECTE001.cte001_codigo,cte_code,manifest,cte_code,also present in manifest mapping

# Notes
"source_file" indicates the original query or ERP table used as source. "sync_alias" is the alias used in `sync_query.sql` CTEs. Destination columns follow the `public.*` schema in `database.sql`. Some columns require lookups (ERP id -> UUID), conversions (0/1 -> boolean) or mapping enums to smallint values.
